| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| rect | 0 | y | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 16384 | 16 | min=777 avg=781.250 med=781.500 max=787 | min=152 avg=161.750 med=163.000 max=169 | 16 | 10283 |
| rect | 0 | y | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 16384 | 16 | min=721 avg=728.125 med=728.000 max=735 | min=99 avg=108.625 med=108.500 max=116 | 16 | 10190 |
| rect | 0 | y | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 16384 | 16 | min=850 avg=855.750 med=855.000 max=860 | min=225 avg=236.250 med=237.000 max=242 | 16 | 10122 |
| rect | 1 | x | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 64 | 16 | min=656 avg=659.188 med=658.500 max=666 | min=631 avg=634.188 med=633.500 max=641 | 16 | 9473 |
| rect | 1 | x | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 64 | 16 | min=530 avg=534.938 med=535.000 max=539 | min=505 avg=509.938 med=510.000 max=514 | 16 | 9459 |
| rect | 1 | x | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 64 | 16 | min=584 avg=587.562 med=586.000 max=593 | min=559 avg=562.562 med=561.000 max=568 | 16 | 9397 |
| rect | 1 | x | `1,2` | `14,11` | `14,11->2,3` | `15,9->0,0` | 5 | 2 | 3 | 2 | 64 | 16 | min=458 avg=463.375 med=463.000 max=468 | min=433 avg=438.375 med=438.000 max=443 | 16 | 9360 |
| rect | 1 | x | `1,2` | `2,3` | `14,11->2,3` | `15,9->14,8` | 27 | 16 | 11 | 2 | 1024 | 16 | min=671 avg=677.250 med=678.000 max=681 | min=253 avg=259.250 med=260.000 max=263 | 16 | 10010 |
| rect | 1 | x | `1,2` | `14,3` | `14,11->2,3` | `15,9->0,8` | 13 | 2 | 11 | 2 | 1024 | 16 | min=545 avg=550.688 med=551.000 max=555 | min=127 avg=132.688 med=133.000 max=137 | 16 | 9961 |
| rect | 1 | x | `1,2` | `2,11` | `14,11->2,3` | `15,9->14,0` | 19 | 16 | 3 | 2 | 1024 | 16 | min=602 avg=604.812 med=604.000 max=609 | min=184 avg=186.812 med=186.000 max=191 | 16 | 9911 |
