| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| 0 | y | 1 | 1 | `1,2` | `3,3` | `2,3->4,5` | 1024 | 8 | min=197 avg=200.625 med=200.500 max=204 | min=36 avg=39.625 med=39.500 max=43 | 8 | 8934 |
| 0 | y | 1 | 1 | `1,2` | `4,3` | `2,3->4,5` | 1024 | 8 | min=203 avg=207.000 med=206.000 max=213 | min=42 avg=46.000 med=45.000 max=52 | 8 | 8853 |
| 0 | y | 1 | 1 | `1,2` | `2,4` | `2,3->4,5` | 1024 | 8 | min=199 avg=203.375 med=204.000 max=208 | min=38 avg=42.375 med=43.000 max=47 | 8 | 8935 |
| 0 | y | 1 | 1 | `1,2` | `3,4` | `2,3->4,5` | 1024 | 8 | min=203 avg=208.375 med=209.000 max=213 | min=42 avg=47.375 med=48.000 max=52 | 8 | 8923 |
| 0 | y | 1 | 1 | `1,2` | `4,4` | `2,3->4,5` | 1024 | 8 | min=207 avg=213.125 med=214.000 max=217 | min=46 avg=52.125 med=53.000 max=56 | 8 | 8910 |
| 0 | y | 1 | 1 | `1,2` | `2,5` | `2,3->4,5` | 1024 | 8 | min=208 avg=213.750 med=214.500 max=218 | min=47 avg=52.750 med=53.500 max=57 | 8 | 8950 |
| 0 | y | 1 | 1 | `1,2` | `3,5` | `2,3->4,5` | 1024 | 8 | min=212 avg=215.125 med=214.500 max=218 | min=51 avg=54.125 med=53.500 max=57 | 8 | 8910 |
| 0 | y | 1 | 1 | `1,2` | `4,5` | `2,3->4,5` | 1024 | 8 | min=219 avg=221.875 med=222.000 max=225 | min=58 avg=60.875 med=61.000 max=64 | 8 | 8908 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | y | 1 | 2 | `1,2` | `2,3` | `2,3->4,5` | 1024 | 8 | min=208 avg=210.875 med=210.000 max=217 | min=29 avg=34.375 med=34.000 max=41 | 16 | 8923 |
| 0 | y | 1 | 2 | `1,2` | `3,3` | `2,3->4,5` | 1024 | 8 | min=215 avg=218.750 med=219.000 max=222 | min=36 avg=42.250 med=43.000 max=46 | 16 | 8959 |
| 0 | y | 1 | 2 | `1,2` | `4,3` | `2,3->4,5` | 1024 | 8 | min=222 avg=226.375 med=225.500 max=231 | min=43 avg=49.875 med=49.500 max=55 | 16 | 8948 |
| 0 | y | 1 | 2 | `1,2` | `2,4` | `2,3->4,5` | 1024 | 8 | min=217 avg=221.750 med=222.000 max=226 | min=41 avg=45.250 med=44.000 max=50 | 16 | 8963 |
| 0 | y | 1 | 2 | `1,2` | `3,4` | `2,3->4,5` | 1024 | 8 | min=223 avg=228.375 med=229.000 max=232 | min=47 avg=51.875 med=52.500 max=56 | 16 | 8933 |
| 0 | y | 1 | 2 | `1,2` | `4,4` | `2,3->4,5` | 1024 | 8 | min=226 avg=230.125 med=229.500 max=235 | min=50 avg=53.625 med=53.000 max=59 | 16 | 8935 |
| 0 | y | 1 | 2 | `1,2` | `2,5` | `2,3->4,5` | 1024 | 8 | min=227 avg=231.250 med=230.000 max=236 | min=50 avg=54.750 med=53.500 max=60 | 16 | 8963 |
